,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
19,2020-10-28,100.15531183520734,99.31351611424458,100.11621111324565,100.15531183520734,100.15531183520734,-0.4588145821550301,-0.4588145821550301,-0.4588145821550301,0.05265669104570646,0.05265669104570646,0.05265669104570646,-0.5114712732007366,-0.5114712732007366,-0.5114712732007366,0.0,0.0,0.0,99.69649725305231
20,2020-10-29,100.16038311203124,99.30549366902697,100.0987350446272,100.16038311203124,100.16038311203124,-0.4512533471295376,-0.4512533471295376,-0.4512533471295376,0.05818865212077886,0.05818865212077886,0.05818865212077886,-0.5094419992503165,-0.5094419992503165,-0.5094419992503165,0.0,0.0,0.0,99.7091297649017
21,2020-10-30,100.15557841259475,99.29820901355832,100.08004653594483,100.15557841259475,100.15557841259475,-0.45325162598649626,-0.45325162598649626,-0.45325162598649626,0.0531938470415256,0.0531938470415256,0.0531938470415256,-0.5064454730280219,-0.5064454730280219,-0.5064454730280219,0.0,0.0,0.0,99.70232678660825
22,2020-11-02,100.14116431428526,99.3018312373137,100.08485460325515,100.14116431428526,100.14116431428526,-0.4533273187721064,-0.4533273187721064,-0.4533273187721064,0.0385642662352732,0.0385642662352732,0.0385642662352732,-0.4918915850073796,-0.4918915850073796,-0.4918915850073796,0.0,0.0,0.0,99.68783699551315
23,2020-11-03,100.13635961484877,99.24505126742761,100.05433535293778,100.13635961484877,100.13635961484877,-0.4680351312917145,-0.4680351312917145,-0.4680351312917145,0.017129744539940848,0.017129744539940848,0.017129744539940848,-0.48516487583165535,-0.48516487583165535,-0.48516487583165535,0.0,0.0,0.0,99.66832448355706
24,2020-11-04,100.13155491541228,99.32977992910703,100.12236379030868,100.13155491541228,100.13155491541228,-0.42479800581272925,-0.42479800581272925,-0.42479800581272925,0.05265669104573817,0.05265669104573817,0.05265669104573817,-0.4774546968584674,-0.4774546968584674,-0.4774546968584674,0.0,0.0,0.0,99.70675690959955
25,2020-11-05,100.12675021597578,99.30110165044091,100.12120505660377,100.12675021597578,100.12675021597578,-0.41053329817043427,-0.41053329817043427,-0.41053329817043427,0.058188652120735665,0.058188652120735665,0.058188652120735665,-0.46872195029117,-0.46872195029117,-0.46872195029117,0.0,0.0,0.0,99.71621691780534
26,2020-11-06,100.12194551653928,99.32548659942448,100.1093887479333,100.12194551653928,100.12194551653928,-0.4057324918824918,-0.4057324918824918,-0.4057324918824918,0.05319384704123958,0.05319384704123958,0.05319384704123958,-0.4589263389237314,-0.4589263389237314,-0.4589263389237314,0.0,0.0,0.0,99.7162130246568
27,2020-11-09,100.1075314182298,99.35550754706466,100.11815911791481,100.1075314182298,100.1075314182298,-0.3842700286833148,-0.3842700286833148,-0.3842700286833148,0.038564266235372645,0.038564266235372645,0.038564266235372645,-0.42283429491868746,-0.42283429491868746,-0.42283429491868746,0.0,0.0,0.0,99.72326138954648
28,2020-11-10,100.1027267187933,99.30470031421493,100.08906351599788,100.1027267187933,100.1027267187933,-0.3913820316933126,-0.3913820316933126,-0.3913820316933126,0.017129744540033544,0.017129744540033544,0.017129744540033544,-0.40851177623334617,-0.40851177623334617,-0.40851177623334617,0.0,0.0,0.0,99.7113446871
