,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,actual
21,1985-10-30,119.52853527504193,-783.3691742284467,952.9389394049412,119.52853527504193,119.52853527504193,-8.921643945739849,-8.921643945739849,-8.921643945739849,3.3637165343289244,3.3637165343289244,3.3637165343289244,-12.285360480068773,-12.285360480068773,-12.285360480068773,0.0,0.0,0.0,110.60689132930209,115.7699966430664
22,1985-10-31,119.59638140932408,-807.9754618651629,987.9976249770007,119.59638140932408,119.59638140932408,-7.991026494950204,-7.991026494950204,-7.991026494950204,2.4371643160456586,2.4371643160456586,2.4371643160456586,-10.428190810995861,-10.428190810995861,-10.428190810995861,0.0,0.0,0.0,111.60535491437388,115.4800033569336
23,1985-11-01,119.66422754360624,-855.6975696763135,969.5785678846992,119.66422754360624,119.66422754360624,-13.63098795251501,-13.63098795251501,-13.63098795251501,-4.926578529320087,-4.926578529320087,-4.926578529320087,-8.704409423194923,-8.704409423194923,-8.704409423194923,0.0,0.0,0.0,106.03323959109123,116.2750015258789
24,1985-11-04,119.86776594645272,-777.4915068881656,1018.5161680393697,119.86776594645272,119.86776594645272,-0.7227261514411294,-0.7227261514411294,-0.7227261514411294,3.4718795045105684,3.4718795045105684,3.4718795045105684,-4.1946056559516975,-4.1946056559516975,-4.1946056559516975,0.0,0.0,0.0,119.1450397950116,116.04000091552734
25,1985-11-05,119.93561208073487,-703.1532870694494,1012.2758792418034,119.93561208073487,119.93561208073487,-1.201828645541235,-1.201828645541235,-1.201828645541235,1.651866756578071,1.651866756578071,1.651866756578071,-2.853695402119306,-2.853695402119306,-2.853695402119306,0.0,0.0,0.0,118.73378343519363,116.44000244140625
26,1985-11-06,120.00345821501702,-782.0151467324368,1037.2427551716187,120.00345821501702,120.00345821501702,1.8020832308236707,1.8020832308236707,1.8020832308236707,3.363716534333069,3.363716534333069,3.363716534333069,-1.5616333035093986,-1.5616333035093986,-1.5616333035093986,0.0,0.0,0.0,121.80554144584069,117.37999725341797
27,1985-11-07,120.07130434929918,-764.3543811183971,1039.8759790910356,120.07130434929918,120.07130434929918,2.1384034935003133,2.1384034935003133,2.1384034935003133,2.4371643160464935,2.4371643160464935,2.4371643160464935,-0.29876082254618014,-0.29876082254618014,-0.29876082254618014,0.0,0.0,0.0,122.2097078427995,117.62000274658203
28,1985-11-08,120.13915048358135,-718.1938945734173,1036.228052801718,120.13915048358135,120.13915048358135,-3.972944666584972,-3.972944666584972,-3.972944666584972,-4.9265785293209134,-4.9265785293209134,-4.9265785293209134,0.9536338627359419,0.9536338627359419,0.9536338627359419,0.0,0.0,0.0,116.16620581699638,119.26000213623047
29,1985-11-11,120.34268888642781,-740.5117074667426,973.67532490585,120.34268888642781,120.34268888642781,8.277400854028183,8.277400854028183,8.277400854028183,3.471879504504698,3.471879504504698,3.471879504504698,4.8055213495234845,4.8055213495234845,4.8055213495234845,0.0,0.0,0.0,128.620089740456,120.4000015258789
30,1985-11-12,120.41053502070996,-777.3376936760992,1076.3135361821135,120.41053502070996,120.41053502070996,7.8111894833232105,7.8111894833232105,7.8111894833232105,1.6518667565750387,1.6518667565750387,1.6518667565750387,6.159322726748173,6.159322726748173,6.159322726748173,0.0,0.0,0.0,128.22172450403318,121.81999969482422
